game_number,bot_position,bot_player,result,outcome
0,first,1,1,bot_win
1,second,-1,1,bot_win
2,first,1,1,bot_win
3,second,-1,1,bot_win
4,first,1,1,bot_win
5,second,-1,1,bot_win
6,first,1,1,bot_win
7,second,-1,1,bot_win
8,first,1,1,bot_win
9,second,-1,1,bot_win
10,first,1,1,bot_win
11,second,-1,1,bot_win
12,first,1,1,bot_win
13,second,-1,1,bot_win
14,first,1,1,bot_win
15,second,-1,1,bot_win
16,first,1,1,bot_win
17,second,-1,1,bot_win
18,first,1,1,bot_win
19,second,-1,1,bot_win
20,first,1,1,bot_win
21,second,-1,1,bot_win
22,first,1,1,bot_win
23,second,-1,1,bot_win
24,first,1,1,bot_win
25,second,-1,1,bot_win
26,first,1,1,bot_win
27,second,-1,1,bot_win
28,first,1,1,bot_win
29,second,-1,1,bot_win
30,first,1,1,bot_win
31,second,-1,1,bot_win
32,first,1,1,bot_win
33,second,-1,1,bot_win
34,first,1,1,bot_win
35,second,-1,1,bot_win
36,first,1,1,bot_win
37,second,-1,1,bot_win
38,first,1,1,bot_win
39,second,-1,1,bot_win
40,first,1,1,bot_win
41,second,-1,1,bot_win
42,first,1,1,bot_win
43,second,-1,1,bot_win
44,first,1,1,bot_win
45,second,-1,1,bot_win
46,first,1,1,bot_win
47,second,-1,1,bot_win
48,first,1,1,bot_win
49,second,-1,1,bot_win
50,first,1,1,bot_win
51,second,-1,1,bot_win
52,first,1,1,bot_win
53,second,-1,1,bot_win
54,first,1,1,bot_win
55,second,-1,1,bot_win
56,first,1,1,bot_win
57,second,-1,1,bot_win
58,first,1,1,bot_win
59,second,-1,1,bot_win
60,first,1,1,bot_win
61,second,-1,1,bot_win
62,first,1,1,bot_win
63,second,-1,1,bot_win
64,first,1,1,bot_win
65,second,-1,1,bot_win
66,first,1,1,bot_win
67,second,-1,1,bot_win
68,first,1,1,bot_win
69,second,-1,1,bot_win
70,first,1,1,bot_win
71,second,-1,1,bot_win
72,first,1,1,bot_win
73,second,-1,1,bot_win
74,first,1,1,bot_win
75,second,-1,1,bot_win
76,first,1,1,bot_win
77,second,-1,1,bot_win
78,first,1,1,bot_win
79,second,-1,1,bot_win
80,first,1,1,bot_win
81,second,-1,1,bot_win
82,first,1,1,bot_win
83,second,-1,1,bot_win
84,first,1,1,bot_win
85,second,-1,1,bot_win
86,first,1,1,bot_win
87,second,-1,1,bot_win
88,first,1,1,bot_win
89,second,-1,1,bot_win
90,first,1,1,bot_win
91,second,-1,1,bot_win
92,first,1,1,bot_win
93,second,-1,1,bot_win
94,first,1,1,bot_win
95,second,-1,1,bot_win
96,first,1,1,bot_win
97,second,-1,1,bot_win
98,first,1,1,bot_win
99,second,-1,1,bot_win
